Nacionalidades_vulnerables_a_odio_en_Chile ,Referente_a_etnias_o_regiones_del_mundo ,Referente_a_estado_migratorio ,Insultos ,De_indole_sexual ,De_Inferioridad ,Hashtags ,Expresiones_de_Violencia ,Referente _ idelogia_política 
argentino,argentucho,clandestinos,afeminado,chupar,escoria,feminazi,te pego,fachos
boliviano,argentuzo,cochinos,afilar,mamar,payaso,,pegarte,zurdos
chileno,caribeños,delincuentes,agilao,pichula,comunacho,,callate,zurdito
colombiano,indigena,indocumentado,aweona,pico,flaiterio,,malditas,comunistas
ecuatoriano,indio,inmigrante,aweonao,poto,,,,derechista
haitiano,mapuche,inmigrantes,asqueroso,,,,,socialismucho
peruano,mongolico,refugiados,aweonao,,,,,rojizos
venezolano,negros,sin papel,baboso,,,,,
peruanitos,,,bananero,,,,,
,,,cachar,,,,,
,,,chilote,,,,,
,,,chupa pico,,,,,
,,,concha,,,,,
,,,conchetumadre,,,,,
,,,culiao,,,,,
,,,falsinista,,,,,
,,,flaite,,,,,
,,,gil,,,,,
,,,hediondos,,,,,
,,,hipócritas,,,,,
,,,ignorante,,,,,
,,,ignorantes,,,,,
,,,inepta,,,,,
,,,inverbes,,,,,
,,,kgon,,,,,
,,,lesbianos,,,,,
,,,machito,,,,,
,,,malditos,,,,,
,,,malvivientes,,,,,
,,,mamón,,,,,
,,,maraca,,,,,
,,,mariconcito,,,,,
,,,maricoteca,,,,,
,,,marimacha,,,,,
,,,monos,,,,,
,,,nefastos,,,,,
,,,pelotas.,,,,,
,,,peñeteñes,,,,,
,,,perucos,,,,,
,,,qliao,,,,,
,,,rasca,,,,,
,,,rascas,,,,,
,,,reconchadetumadre,,,,,
,,,retrasado,,,,,
,,,retrogradas,,,,,
,,,sinverguenzas,,,,,
,,,timoratos,,,,,
,,,watona,,,,,
,,,weon,,,,,
,,,yeta,,,,,
,,,zanganos,,,,,
